10415	15007	63	16314.75
10918	15022	209	15883.775
11421	15039	2586	2197
11924	15057	1023	19004.325
12427	15073	1538	2476.65
12930	15091	3222	3651.65
13433	15110	1392	3510.65
13936	15140	2440	9830.975
14439	15164	1301	13075.275
14942	15188	3721	12760.125
1499	14583	328	26977.825
15445	15205	1378	6577.65
15948	15216	3386	12222.475
16451	15226	3271	29725.15
16954	15238	1573	17516.275
17457	15257	1603	5284.65
17960	15282	2049	1797
18463	15309	4359	5864.3
18966	15322	1547	1997
19469	15330	901	7826.175
19972	15336	4453	13235.4
2002	14624	848	5177.975
20475	15341	937	18640.2
205	14413	138	24835.725
20978	15346	4541	15275
21481	15351	104	4057.325
21984	15358	2271	1798
22487	15365	212	15693.8
22990	15373	2316	9978.1
23493	15386	1073	21956.975
23996	15413	1765	38045.325
2505	14660	790	20145.25
3008	14691	1431	5800.6
3511	14723	1080	6011.975
4014	14750	712	16507.95
4517	14783	813	25012.6
5020	14807	840	11836.95
5523	14834	400	4579.65
6026	14853	189	5573.825
6529	14871	873	6465.65
7032	14890	1538	16242.275
708	14488	146	6469.3
7535	14925	1671	9387.075
8038	14951	796	4002.975
8541	14964	2323	2006.65
9044	14975	2119	9871.175
9547	14985	714	13854.425
10416	15007	2516	5122.5
10919	15022	770	10569.125
11422	15040	1086	11873.375
11925	15057	1792	6163.125
12428	15073	804	12218.825
12931	15091	62	1302.825
13434	15110	3185	4356.65
13937	15140	1659	27497.425
14440	15164	3166	13101.125
14943	15188	3729	20232.575
1500	14583	884	8994.625
15446	15205	1942	22459.625
15949	15216	3953	6117.475
16452	15226	1683	49588.525
16955	15238	2356	13915.45
17458	15257	3636	2477.825
17961	15283	267	2769.65
18464	15309	1588	14507.6
18967	15322	2275	20554.9
19470	15330	90	10241.3
19973	15336	761	1298
2003	14624	1116	9826.7
20476	15341	535	13132.975
206	14413	163	22421.35
20979	15346	3041	3369.65
21482	15351	2864	3185.325
22488	15365	627	20790.45
21985	15358	1923	11464.475
22991	15373	1880	1684.7
23494	15386	4796	32423.625
23997	15413	698	8134.65
2506	14660	585	7277.95
3009	14691	1465	9630.3
3512	14723	1535	15751.8
4015	14750	790	7438.975
4518	14783	1690	16148.95
5021	14807	1890	5654.475
5524	14834	258	16068.275
6027	14853	1224	12325.625
6530	14871	2164	16744.925
7033	14890	683	5390.65
709	14488	503	9368.275
7536	14925	888	9591.65
8039	14951	1584	13162.775
8542	14964	1285	1771.65
9045	14975	459	6904.3
9548	14985	1495	6812.65
10417	15007	2804	1997
10920	15022	31	9969.625
11423	15040	2716	4309.65
11926	15057	272	21784.25
12429	15073	2657	3269.65
12932	15091	2616	13595.925
13435	15110	2439	9536.3
13938	15140	3428	3654
14441	15164	2927	16601.575
14944	15188	3731	21735.025
1501	14584	802	8669.825
15447	15205	2325	7860.625
15950	15216	3646	11025.95
16453	15226	3012	2796
16956	15238	1292	28834.4
17459	15257	1682	8794.625
17962	15283	3372	8631.3
18465	15309	276	24213.775
18968	15322	2154	13163.4
19471	15330	1729	12560.625
19974	15336	3547	10792.125
2004	14624	709	8088.15
20477	15341	2783	4591.65
207	14413	168	16067.75
20980	15346	1319	13543.975
21483	15351	4051	6564.475
21986	15358	4121	11006.35
22489	15365	123	10966.825
22992	15373	2087	16511.1
23495	15386	2972	16074
23998	15413	1960	12450.3
2507	14660	872	9634.625
3010	14691	1468	3595
